Plant,URL,ScientificName,Type,MinHeight,MaxHeight,MinWidth,MaxWidth,FloweringMonths,Sun,Watering,MinRain,MaxRain,FlowerColor,Visuals,MinTemp,Soil,MinSoilpH,MaxSoilpH,CNPSDrainage,AttractsBees,AttractsButterflies,AttractsHummingbirds,AttractsSongbirds,Notes,Containers,MinElevation,MaxElevation,Counties,Image,
California rose,http://calscape.org/Rosa-californica-(California-Wildrose),Rosa californica,Bush,3,8,3,10,"May, Jun, Jul, Aug","Full, Partial","DroughtTolerant, Infrequent, Occasional",11,109,Pink,Pink flowers; Winter deciduous,-10,Tolerates clay but does best in moist loamy soil,5,8,"Medium, Slow",Yes,Yes,NA,Yes,"Edible: The berries or 'rose hips' can be eaten raw, dried or used in tea. The outer flesh is eaten, but avoid consuming the hairs within the seed cavity, which can be irritating to the mouth. All rose hips are a rich source of vitamins and minerals, especially vitamins A, C and E, flavanoids and other bio-active compounds",NA,-3,7857,1_1111111111_11_111111111111111111111111111111111111111111,,
California blackberry,http://calscape.org/Rubus-ursinus-(Pacific-Blackberry),Rubus ursinus,Vine,1.5,6,3,9,"Feb, Mar, Apr, May","Partial, Shade","Moderate, Regular",12,159,White,White flowers; Winter deciduous,0,Tolerates a variety of soils,5,8,"Medium, Slow",Yes,Yes,Yes,Yes,"Edible: berries raw, cooked (e.g. jam), or dried. Tea can be made from fresh or dried leaves. Young spring shoots can be eaten raw or cooked, like asparagus.",NA,-22,7285,1_1111111111__111_111111__11111111111111111111111111111111,,
Cleveland sage,http://calscape.org/Salvia-clevelandii-(Cleveland-Sage),Salvia clevelandii,Bush,3,6,3,8,"May, Jun, Jul, Aug","Full, Partial","DroughtTolerant, Infrequent, Occasional",9,40,"Purple, Violet","Purple, dark violet flowers; Evergreen",20,"Tolerant of a variety of soils, although performs better in well-drained soils",6,8,Medium,Yes,Yes,Yes,NA,Edible: Substitute for typical sage in cooking,Yes,3,7631,__________________1__________1__1__11_____________________,,
Purple sage,http://calscape.org/Salvia-leucophylla-(Purple-Sage),Salvia leucophylla,Bush,3,5,3,10,"Apr, May, Jun, Jul",Full,"DroughtTolerant, Infrequent, Occasional",13,31,"Pink, Lavender","Rose, lavender flowers; Evergreen",0,Variable,5,8,"Fast, Medium",Yes,Yes,Yes,NA,,Yes,11,5111,______1_______1___1_______1__1__1__11__1_1_____________1__,,
Black sage,http://calscape.org/Salvia-mellifera-(Black-Sage),Salvia mellifera,Bush,3,6,3,10,"Mar, Apr, May, Jun, Jul",Full,DroughtTolerant,11,51,"White, Blue, Lavender",White to pale blue or lavender flowers; Evergreen,30,Tolerates a variety of soils although it is happier with good drainage,4,8,"Fast, Medium",Yes,Yes,Yes,Yes,Edible: The aromatic leaves can be brewed into a tea. The leaves and stems can be used as a food flavouring. The seeds can be dried then ground into a powder and used as a gruel,Yes,-18,6692,1_11_11__1_1_111__1_1__1__1__1__1_111_111111____11_____1__,,
Sonoma sage,http://calscape.org/Salvia-sonomensis-(Sonoma-Sage),Salvia sonomensis,Perennial_herb,0.3,1.3,3,12,"Mar, Apr, May, Jun, Jul","Partial, Shade",DroughtTolerant,20,69,"Blue, Lavender, Purple",Blue to lilac or purple flowers; Evergreen,10,Tolerates a variety of soils as long as drainage is adequate,5,7.5,Medium,Yes,Yes,Yes,NA,,Yes,50,8808,_1111___11______1_1__1____111_1__11_1__1111_1_1_1__111___1,,
Hummingbird sage,http://calscape.org/Salvia-spathacea-(Hummingbird-Sage),Salvia spathacea,Perennial_herb,0.6,1.5,3,6,"Feb, Mar, Apr, May, Jun, Jul","Full, Partial","DroughtTolerant, Infrequent, Occasional",15,49,"Red, Pink","Red, pink flowers; Evergreen",0,Tolerates a variety of soils,5,7,Medium,Yes,Yes,Yes,NA,,Yes,13,3927,1_____1___________1_______1__1_____111_111_____1_______1__,,
Blue elderberry,http://calscape.org/Sambucus-nigra-ssp.-caerulea-(Blue-Elderberry),Sambucus nigra ssp. caerulea,Bush,6,30,6,30,"Mar, Apr, May, Jun, Jul","Full, Partial, Shade","DroughtTolerant, Infrequent, Occasional, Moderate",9,123,"White, Yellow","Showy cream or yellow flowers, prolific black or purple berry; Winter deciduous",5,Tolerates a variety of soils but prefers well-drained soils with moisture,6,7,"Fast, Medium",Yes,Yes,Yes,Yes,"Edible: The berries are safe and delicious once dried or cooked. Used in tea, jellies, sauces and baked goods. Hazard: Raw berries should not be eaten, or only in small quantities, because of the presence of cyanide-inducing glycosides. Other species of elderberry are less edible and should be avoided. ",NA,1,10255,111111111111_11_111111111111111111111111111111111111111111,,
California bee plant,http://calscape.org/Scrophularia-californica-(Bee-Plant),Scrophularia californica,Perennial_herb,3,4.5,1.5,3,"Feb, Mar, Apr, May","Full, Partial, Shade","DroughtTolerant, Infrequent, Occasional",11,85,Red,Red to maroon flowers; Evergreen,20,Adaptable to garden soils,5.2,8.2,"Fast, Medium",Yes,Yes,Yes,Yes,,NA,-23,10537,1111111111_1_11_1111111111111111111111_111111_111111_11111,,
Blue eyed grass,http://calscape.org/Sisyrinchium-bellum-(Blue-Eyed-Grass),Sisyrinchium bellum,Perennial_herb,0.9,2.1,0.3,1.5,"Mar, Apr, May","Full, Partial","Infrequent, Occasional, Moderate",11,157,"Blue, Purple, White",Blue-purple or pale blue/ white flowers,0,Tolerant of sand and clay,5,8,"Medium , Slow",NA,NA,NA,Yes,,Yes,-7,10141,1_1111111__1_11_1111111_11111111111111_111111_1111_1111111,,
California goldenrod,http://calscape.org/Solidago-velutina-(Threenerve-Goldenrod),Solidago velutina,Perennial_herb,1.2,3,1.5,3,"Aug, Sep, Oct","Full, Partial","DroughtTolerant, Infrequent, Occasional, Moderate",11,107,Yellow,Yellow flower; Winter deciduous,0,Tolerates a variety of soils,5.5,7.5,Medium,Yes,Yes,NA,Yes,,NA,-1,10570,1_1111111111_1111111111_11111111111111111111111111111111_1,,
Purple needlegrass,http://calscape.org/Stipa-Pulchra-(Purple-Needlegrass),Stipa pulchra (Nasella),Grass,2.1,3.6,0.3,1.5,"Mar, Apr, May","Full, Partial","Occasional, Infrequent",11,85,Textural,Textural,5,Found in virtually every type of soil,6,8,Medium,Yes,Yes,NA,Yes,,NA,-69,9884,1_11111_1111_11_1_111111_111111_1111111111111__11_11111111,,
Common snowberry,http://calscape.org/Symphoricarpos-albus-(Common-Snowberry),Symphoricarpos albus,Bush,6,12,6,18,"Jun, Jul","Full, Partial, Shade","DroughtTolerant, Infrequent",15,105,Pink,Bell shaped pink flowers; Winter deciduous,0,Tolerates a variety of soils,5,7,Medium,NA,NA,NA,Yes,"Hazard: Berries are poisonous, although requires large quantities",Yes,33,9771,11111_111_11__1_1_1_111_11111111111111_111111_111_11111111,,
Pacific aster,http://calscape.org/Symphyotrichum-chilense-(California-Aster),Symphyotrichum chilense,Perennial_herb,2.1,3.6,1.5,3,"Jul, Aug","Full, Partial","Occasional, Moderate",15,97,Violet,Violet flower; Winter deciduous,5,Prefers loamy clay soil,5.8,8,Unknown,Yes,Yes,NA,NA,,NA,-10,6735,1__111111__1__1_1_111_1___111__1_11111111111___11_11___111,,
Woolly bluecurls,http://calscape.org/Trichostema-lanatum-(Woolly-Bluecurls),Trichostema lanatum,Perennial_herb,3,5,3,5,"Mar, Apr, May, Jun","Full, Partial","DroughtTolerant, Infrequent",14,65,"Blue, Pink, White",Blue to pink or white flowers; Evergreen,0,Often but not always found on eroded gabbro or sandstone soils,6,7.5,Fast,Yes,Yes,Yes,NA,"Other: need regular water their first year to become established. After that, even occasional summer water will sometimes kill",NA,59,6306,1__1__________1___1_1_____1__1__11111_11111___1_____11_11_,,
California bay laurel,http://calscape.org/Umbellularia-californica-(California-Laurel),Umbellularia californica,Tree,6,60,3,30,"Mar, Apr, May","Full, Partial, Shade","DroughtTolerant, Infrequent, Occasional, Moderate",15,141,White,"White, cream flowers; Evergreen",10,Tolerates a variety of soils including clay and serpentine,5,8,Medium,Yes,Yes,NA,Yes,"Edible: leaves can be substituted for bayleaf in cooking; nuts can be roasted and eaten, or can be ground into a powder that is used with cereal flours in making bread",Yes,3,9134,1_11111111_1__1_1_11111___111111111111_111111_111_11111111,,
Western vervain,http://calscape.org/Verbena-lasiostachys-(Vervain),Verbena lasiostachys,Perennial_herb,1.5,3,1.5,3,"Apr, May, Jun, Jul, Aug, Sep","Full, Partial","Occasional, Moderate",11,87,Purple,Purple flowers; Summer deciduous,-20,Tolerates a variety of soils including sand and clay as long as adequate moisture is present,6,8,"Medium, Slow",Yes,Yes,NA,NA,,NA,-6,8428,1_1111111111__1_1_111111__11111_111111_111111_111_1111111_,,
Western chain fern,http://calscape.org/Woodwardia-fimbriata-(Giant-Chain-Fern),Woodwardia fimbriata,Fern,3,6,3,6,NA,"Full, Partial, Shade","Occasional, Moderate, Regular",15,101,Textural,Textural,0,"Prefers moist, fertile soil with good drainage",5,7,Slow,NA,NA,NA,NA,,NA,22,7677,1_11111111_1__1_1_1_1111__111111111111_111111__111111111_1,,
Mules ears,http://calscape.org/Wyethia-angustifolia-(Narrow-Leaf-Mule-Ears),Wyethia angustifolia,Perennial_herb,2,4,2,4,"Mar, Apr, May, Jun, Jul","Full, Partial","Infrequent, Occasional, Moderate",19,123,Yellow,Yellow flower; Winter deciduous,-5,Tolerates a variety of soils as long as adequate drainage is provided. Prefers light or loamy soil.,5.8,7,Slow,Yes,Yes,NA,NA,"Edible: The seed can be dried, ground into a powder and used as a thickener in soups or can be added to cereal flours when making bread. Young leaves can be eaten raw.",NA,-53,7478,111111111111____1__1111_1_111_11_11__11_1_1111111_111_1_11,,
